time,x,y,z,steer,wheel_degree,handle_angle,speed,front_dist,left_dist,right_dist,rear_dist
0.03,17.816303,0.382685,-0.074522,0.000000, 0.000000,0.00,nan,6.837098,6.863698,6.813940,6.119672
0.54,17.816392,0.382833,-0.075633,0.000000, 0.000000,0.00,-0.000274,6.842160,6.856528,6.815061,6.088159
1.06,17.816425,0.382911,-0.072775,0.000000, 0.000000,0.00,-0.000042,6.841033,6.859096,6.819991,6.142413
1.57,17.816417,0.382921,-0.073628,0.000000, 0.000000,0.00,-0.000005,6.841485,6.855868,6.819111,6.127944
2.08,17.816415,0.382926,-0.073496,0.000000, 0.000000,0.00,-0.000003,6.841570,6.855807,6.819428,6.130147
2.59,17.648401,0.237928,-0.052520,0.000000, 0.000000,0.00,-3.570119,6.739163,6.842134,6.831461,6.296971
3.10,17.262516,-0.096116,-0.073222,0.000000, 0.000000,0.00,-3.570823,6.828530,6.823656,6.828299,6.036423
3.62,16.585933,-0.682514,-0.049448,0.000000, 0.000000,0.00,-8.320413,6.730862,6.838736,6.836984,5.809956
4.13,15.663642,-1.530145,-0.069027,0.015423, 0.883681,10.60,-10.885892,6.805760,6.875594,6.811190,5.420357
4.64,14.498668,-2.822288,-0.052888,0.780000, 44.690708,536.29,-13.562133,6.722344,6.720910,6.881895,5.633933
5.15,13.742131,-3.942740,-0.092250,0.780000, 44.690708,536.29,-9.159303,6.880065,6.691432,6.801499,4.469425
5.66,13.537170,-4.508195,-0.073165,0.187278, 10.730239,128.76,-4.375003,6.740127,6.503482,6.871643,3.779928
6.18,13.470257,-4.923750,-0.066636,0.780000, 44.690708,536.29,-5.314350,6.799277,6.887096,6.724391,3.749517
6.69,13.420211,-5.439028,-0.065773,0.382200, 21.898447,262.78,-4.782704,6.781451,6.962793,6.612901,3.720192
7.20,13.409298,-6.084610,-0.066420,0.000000, 0.000000,0.00,-4.217090,6.751930,6.205619,5.015423,3.547837
7.71,13.412313,-6.376268,-0.085148,0.000000, 0.000000,0.00,-0.041687,6.867517,4.817555,4.722114,4.151281
8.22,13.413046,-6.375448,-0.073396,0.000000, 0.000000,0.00,-0.001069,6.831907,4.824207,4.721114,4.647658
