time,x,y,z,steer,wheel_degree,handle_angle,speed,front_dist,left_dist,right_dist,rear_dist
0.03,13.403275,-6.415625,-0.074396,0.000000, 0.000000,0.00,nan,6.829297,4.816676,4.730330,4.631464
0.54,13.403506,-6.415456,-0.075695,0.000000, 0.000000,0.00,-0.000277,6.839011,4.820217,4.729901,4.639849
1.06,13.403605,-6.415378,-0.072769,0.000000, 0.000000,0.00,-0.000043,6.839061,4.822644,4.729748,4.728038
1.57,13.403658,-6.415377,-0.073631,0.000000, 0.000000,0.00,-0.000005,6.840623,4.822972,4.729662,4.696101
2.08,13.404213,-6.727123,-0.054168,0.000000, 0.000000,0.00,-4.301931,6.737635,4.031666,3.649438,5.221177
2.59,13.405517,-7.252220,-0.066886,0.000000, 0.000000,0.00,-4.315666,6.761445,3.886464,3.533472,4.618727
3.10,13.407605,-7.872306,-0.069912,0.000000, 0.000000,0.00,-3.780482,6.771098,2.146029,1.134270,2.768393
3.62,13.409297,-8.044040,-0.083015,0.000000, 0.000000,0.00,-0.002436,6.838132,1.365074,1.133793,2.647605
4.13,13.410316,-8.184952,-0.069868,0.000000, 0.000000,0.00,-0.000104,6.807991,1.365397,1.135150,2.580585
4.64,13.411010,-8.184996,-0.075116,0.000000, 0.000000,0.00,-0.000287,6.829536,1.369058,1.132419,2.574985
5.15,13.411309,-8.184934,-0.073092,0.000000, 0.000000,0.00,-0.000033,6.834123,1.371156,1.131352,2.577309
5.66,13.411434,-8.184929,-0.073388,0.000000, 0.000000,0.00,-0.000007,6.836995,1.371806,1.116249,2.577010
