time,x,y,z,steer,wheel_degree,handle_angle,speed,front_dist,left_dist,right_dist,rear_dist
0.03,-9.000000,3.500000,0.389955,0.000000, 0.000000,0.00,nan,7.367707,8.438643,7.662963,6.919405
0.54,-9.003661,3.500485,-0.170995,0.000000, 0.000000,0.00,0.007190,6.702868,6.491225,6.656744,4.077566
1.06,-9.004047,3.500175,-0.060238,0.000000, 0.000000,0.00,-0.001772,6.859964,6.903953,6.842755,6.031094
1.57,-8.907920,3.500268,-0.085498,0.000000, 0.000000,0.00,2.379678,6.899584,6.839612,6.820816,5.513593
2.08,-8.289326,3.500163,-0.089735,0.000000, 0.000000,0.00,7.141471,6.918929,6.847365,6.814754,5.542395
2.59,-7.088417,3.500164,-0.087253,0.000000, 0.000000,0.00,11.840584,6.914112,6.848260,6.818687,5.810074
3.10,-5.730101,3.469755,-0.059952,0.780000, 44.690708,536.29,9.793372,6.613487,6.304029,7.123150,6.008675
3.62,-4.890272,3.251387,-0.080398,0.010796, 0.618577,7.42,9.188889,6.861833,6.971986,6.788619,5.982978
4.13,-3.649908,2.814231,-0.092629,0.000000, 0.000000,0.00,13.864043,6.869679,6.647005,6.887488,4.826513
4.64,-1.865350,2.054532,-0.088941,0.000000, 0.000000,0.00,18.406491,6.839549,6.578257,6.927742,4.718392
5.15,0.405129,0.924727,-0.083508,-0.780000,-44.690708,-536.29,18.335698,6.850694,6.985495,6.776202,5.811970
5.66,2.517141,0.131625,-0.068653,-0.510796,-29.266467,-351.20,16.380562,6.480126,7.036008,6.777582,6.375501
6.18,4.680085,-0.324128,-0.086807,0.000000, 0.000000,0.00,17.800215,5.874919,6.756783,6.849458,5.600494
6.69,7.222498,-0.707700,-0.072295,-0.382200,-21.898447,-262.78,17.726093,6.387513,7.127095,6.742778,6.386723
7.20,9.468673,-0.785715,-0.077910,0.000000, 0.000000,0.00,15.561336,5.860313,6.858652,5.602871,6.076779
7.71,11.322181,-0.781499,-0.062078,0.000000, 0.000000,0.00,10.945188,6.756904,7.006600,6.567796,6.836760
8.22,12.489544,-0.779319,-0.064873,0.000000, 0.000000,0.00,6.231030,6.740218,7.155068,6.529898,6.110466
8.74,12.976823,-0.777265,-0.064725,0.000000, 0.000000,0.00,1.461795,6.751469,7.085432,6.546506,6.231753
9.25,12.991917,-0.776164,-0.071606,0.000000, 0.000000,0.00,0.001465,6.807539,6.964805,6.576816,5.746418
9.76,12.991631,-0.775628,-0.073431,0.000000, 0.000000,0.00,0.000240,6.827059,6.907818,6.592522,5.704073
10.27,12.991578,-0.775350,-0.073280,0.000000, 0.000000,0.00,0.000063,6.834620,6.881020,6.601737,5.752959
10.78,12.991566,-0.775266,-0.073350,0.000000, 0.000000,0.00,0.000016,6.836543,6.874379,6.603854,5.760276
11.30,12.991563,-0.775216,-0.073395,0.000000, 0.000000,0.00,0.000006,6.838120,6.868790,6.605658,5.767672
11.81,12.991561,-0.775181,-0.073420,0.000000, 0.000000,0.00,0.000002,6.839224,6.864754,6.606971,5.773842
12.32,12.991592,-0.774924,-0.073727,-0.267540,-15.328913,-183.95,0.298826,6.842317,6.857911,6.609165,5.761506
12.83,13.061772,-0.771612,-0.081726,-0.780000,-44.690708,-536.29,2.815839,6.879730,6.866022,6.813723,5.136317
13.34,13.270049,-0.760672,-0.083354,-0.780000,-44.690708,-536.29,4.146489,6.883689,6.808486,6.833893,5.073213
13.86,13.674922,-0.722095,-0.082024,-0.015423,-0.883681,-10.60,5.420164,6.881059,6.887353,5.597597,5.361801
14.37,14.253384,-0.624442,-0.078273,-0.031476,-1.803431,-21.64,5.952140,6.812771,7.094559,5.591858,5.718486
14.88,14.963547,-0.428906,-0.081508,-0.531476,-30.451321,-365.42,7.446580,6.811639,7.178324,6.735333,5.326496
15.39,15.621389,-0.159137,-0.073136,-0.780000,-44.690708,-536.29,5.722104,6.792946,7.087544,6.758407,6.259008
15.90,15.903001,0.002263,-0.068458,-0.131095,-7.511167,-90.13,0.975161,6.817102,6.846737,6.825157,6.249809
16.42,16.033244,0.086110,-0.089337,0.000000, 0.000000,0.00,2.974213,6.916295,6.894105,6.804663,4.648198
16.93,16.662499,0.501819,-0.089760,0.000000, 0.000000,0.00,6.559160,6.891539,6.941804,6.785943,4.712638
17.44,17.258611,0.899066,-0.071371,0.000000, 0.000000,0.00,4.184582,6.826764,6.910350,6.806630,6.316137
17.95,17.434709,1.015650,-0.066191,0.000000, 0.000000,0.00,0.001458,6.792168,6.930463,6.800351,6.588999
18.46,17.434102,1.015657,-0.073769,0.000000, 0.000000,0.00,0.000531,6.831907,6.890410,6.807822,6.265533
18.98,17.433928,1.015761,-0.073248,0.000000, 0.000000,0.00,0.000077,6.836470,6.872917,6.814308,6.275707
